cliente0,"Calendários ecológicos e produtos de papel reciclado, Mochilas sustentáveis feitas de materiais reciclados, Lanternas solares recarregáveis, Alimentos orgânicos, como frutas, legumes e grãos, Carregadores solares para dispositivos móveis"

cliente1,"Lâmpadas LED de baixo consumo de energia, Cremes faciais livres de parabenos e produtos químicos, Meias de fibra de bambu, Luminárias de LED de baixo consumo de energia"

cliente2,"Painéis solares para instalação em residências, Jeans feitos com materiais reciclados"

cliente3,"Mochilas sustentáveis feitas de materiais reciclados, Conjuntos de talheres de aço inoxidável, Alimentos orgânicos, como frutas, legumes e grãos"

cliente4,"Sabonetes artesanais de ingredientes naturais, Bolsas de couro vegano, Equipamentos de escalada seguros e duráveis, Detergente multiuso natural, Lâmpadas LED de baixo consumo de energia"

cliente5,"Barracas de acampamento respeitadoras do ambiente, Cremes faciais livres de parabenos e produtos químicos, Conjuntos de talheres de aço inoxidável"

cliente6,"Shampoo e condicionador orgânicos, Fones de ouvido bluetooth recarregáveis"

cliente7,"Alimentos orgânicos, como frutas, legumes e grãos, Lanternas solares recarregáveis, Livros sobre sustentabilidade e conservação ambiental, Móveis de madeira certificada pelo FSC"

cliente8,"Bolsas de couro vegano, Sabonetes artesanais de ingredientes naturais"

cliente9,"Escova de dentes de bambu, Detergente multiuso natural, Guias práticos para um estilo de vida mais ecológico, Bolsas de couro vegano, Lâmpadas LED de baixo consumo de energia"

cliente10,"Roupas de banho feitas de tecidos reciclados, Lanternas solares recarregáveis, Produtos de fazendas locais e comércio justo, Detergente multiuso natural"

cliente11,"Cremes faciais livres de parabenos e produtos químicos, Fones de ouvido bluetooth recarregáveis, Mochilas sustentáveis feitas de materiais reciclados, Carregadores solares para dispositivos móveis, Luminárias de LED de baixo consumo de energia"

cliente12,"Detergente multiuso natural, Bolsas de couro vegano, Barracas de acampamento respeitadoras do ambiente, Guias práticos para um estilo de vida mais ecológico, Roupas para atividades ao ar livre feitas de tecidos sustentáveis"

cliente13,"Guias práticos para um estilo de vida mais ecológico, Produtos de fazendas locais e comércio justo, Móveis de madeira certificada pelo FSC"

cliente14,"Escova de dentes de bambu, Jeans feitos com materiais reciclados, Calendários ecológicos e produtos de papel reciclado, Equipamentos de escalada seguros e duráveis"

cliente15,"Camisetas de algodão orgânico, Detergente multiuso natural"

cliente16,"DVDs de documentários ambientais, Laptops com design eficiente em termos de energia, Luminárias de LED de baixo consumo de energia, Cremes faciais livres de parabenos e produtos químicos"

cliente17,"Roupas de banho feitas de tecidos reciclados, Sabonetes artesanais de ingredientes naturais, Jeans feitos com materiais reciclados, Detergente multiuso natural"

cliente18,"Garrafas de água reutilizáveis, Calendários ecológicos e produtos de papel reciclado, Materiais educacionais para crianças sobre o meio ambiente, Lanternas solares recarregáveis"

cliente19,"Guias práticos para um estilo de vida mais ecológico, Shampoo e condicionador orgânicos, Equipamentos de escalada seguros e duráveis"

cliente20,"Lanternas solares recarregáveis, Roupas de banho feitas de tecidos reciclados, Conjuntos de talheres de aço inoxidável, Camisetas de algodão orgânico, Mochilas sustentáveis feitas de materiais reciclados"
